query_name,pipeline_id,repetition,source_name,throughput,latency_us,pipeline_task_duration_us,pipeline_tuples,pipeline_task_count,pipeline_task_span_us,pipeline_avg_task_duration_us,end_to_end_tuples,end_to_end_duration_us,end_to_end_throughput,end_to_end_latency_us,avg_sink_latency_us,std_sink_latency_us,p50_sink_latency_us,p95_sink_latency_us,p99_sink_latency_us,sink_latency_count,is_inference_pipeline,batch_size,openvino_share_compiled_model,optimizer.rewrite_post_join_batch_inference,prediction_cache_type,use_batch_deduplication
ablation_musan_lat.test_01,10,rep-01,MUSANSOURCE0242,0.0,,76770.0,0.0,1802.0,870779743.0,42.60266370699223,9600000.0,945946000.0,10148.570848653095,4151425.4957030546,14004809.19760137,19067677.279521618,2976003.0,58523353.5,65802104.5,1751,False,1,,false,NONE,false
ablation_musan_lat.test_02,2,rep-01,MUSANSOURCE0242,2309573.464268586,62.49053773584906,4038841.0,9328000.0,5817.0,582911736.0,694.3168299810899,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,3,rep-01,MUSANSOURCE0242,8947541.584294226,62.49050042881647,1042521.0,9328000.0,5818.0,582911388.0,179.1888965280165,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,4,rep-01,MUSANSOURCE0242,8896.826240120314,33469.88740238861,1957552.0,17416.0,11621.0,582911559.0,168.44953102142674,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,5,rep-01,MUSANSOURCE0242,1623.9427214720286,332343.95659623074,1078240.0,1751.0,1751.0,581934268.0,615.7852655625356,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,6,rep-01,MUSANSOURCE0242,7034.200991854459,265723.34292237443,311336.0,2190.0,1751.0,581934121.0,177.80468303826385,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,13,rep-01,MUSANSOURCE0242,2590921.501891016,62.489446786310516,3699070.0,9584000.0,5978.0,598898858.0,618.7805286048846,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,14,rep-01,MUSANSOURCE0242,10085.097961606965,33578.0660461987,1768550.0,17836.0,5978.0,598898386.0,295.8430913348946,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,15,rep-01,MUSANSOURCE0242,1744.7640107265647,332353.3624235687,1031085.0,1799.0,1799.0,597903699.0,573.1434130072263,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,16,rep-01,MUSANSOURCE0242,4250.534566464972,457112.7767584098,307726.0,1308.0,1799.0,597903512.0,171.0539188438021,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,7,rep-01,MUSANSOURCE0242,7300.95375788019,168493.19915373766,485553.0,3545.0,1799.0,597308391.0,269.90161200667035,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,18,rep-01,MUSANSOURCE0242,2686799.0008466216,62.489519270833334,3573025.0,9600000.0,5988.0,599899385.0,596.6975617902472,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,19,rep-01,MUSANSOURCE0242,9086.318148055521,35356.819355218955,1867313.0,16967.0,5988.0,599899154.0,311.8425183700735,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,20,rep-01,MUSANSOURCE0242,1599.5895392880318,332353.75582685904,1126539.0,1802.0,1802.0,598901468.0,625.1603773584906,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,21,rep-01,MUSANSOURCE0242,8.523938059383434,199633738.66666666,351950.0,3.0,1802.0,598901216.0,195.31076581576028,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,8,rep-01,MUSANSOURCE0242,2468.617123264496,113764.15000951837,2127912.0,5253.0,1802.0,597603080.0,1180.8612652608213,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,9,rep-01,MUSANSOURCE0242,4.776445336537373,341085.7030268418,366590608.0,1751.0,1751.0,597241066.0,209360.71273557967,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,True,,true,true,NONE,false
ablation_musan_lat.test_02,10,rep-01,MUSANSOURCE0242,21273.235329850566,340975.5859508852,82310.0,1751.0,1751.0,597048251.0,47.00742432895488,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,11,rep-01,MUSANSOURCE0242,0.0,,56560.0,0.0,1751.0,597048280.0,32.30154197601371,9600000.0,600125000.0,15996.667360966465,202420599.2321431,1588203.9463163905,724100.1398061581,1521920.0,1619672.5,1645919.5,1751,False,,true,true,NONE,false
ablation_musan_lat.test_02,2,rep-01,MUSANSOURCE0242,2345574.4255945217,65.95479652658662,3976851.0,9328000.0,3187.0,615226342.0,1247.8352682773768,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,3,rep-01,MUSANSOURCE0242,6714651.083608491,65.95471065608919,1389201.0,9328000.0,6196.0,615225541.0,224.20932859909618,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,4,rep-01,MUSANSOURCE0242,7321.372696784202,37032.77595858665,2269110.0,16613.0,10352.0,615225507.0,219.19532457496135,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,5,rep-01,MUSANSOURCE0242,960.9395365428677,350788.09937178757,1822175.0,1751.0,1751.0,614229962.0,1040.648201027984,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,6,rep-01,MUSANSOURCE0242,2476.923908515976,394242.594351733,629006.0,1558.0,1751.0,614229962.0,359.22672758423755,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,17,rep-01,MUSANSOURCE0242,2826252.5892595337,68.88279708333333,3396724.0,9600000.0,3412.0,661274852.0,995.5228604923799,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,18,rep-01,MUSANSOURCE0242,7639.433081623631,39737.66624601887,2178303.0,16641.0,6636.0,661274504.0,328.25542495479203,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,19,rep-01,MUSANSOURCE0242,1120.9290897272012,366413.3834628191,1607595.0,1802.0,1802.0,660276917.0,892.1170921198668,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,20,rep-01,MUSANSOURCE0242,0.0,,481091.0,0.0,1802.0,660277115.0,266.9761376248613,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,12,rep-01,MUSANSOURCE0242,2719936.24723721,69.03965066777964,3523612.0,9584000.0,3501.0,661676012.0,1006.4587260782633,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,13,rep-01,MUSANSOURCE0242,6394.016345343034,38458.35123510607,2690797.0,17205.0,6816.0,661675933.0,394.77655516431923,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,14,rep-01,MUSANSOURCE0242,1001.8282390822162,367249.6887159533,1795717.0,1799.0,1799.0,660682190.0,998.1750972762646,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,15,rep-01,MUSANSOURCE0242,3021.3785896391632,340557.9015463918,642091.0,1940.0,1799.0,660682329.0,356.9155086158977,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,7,rep-01,MUSANSOURCE0242,3372.530605144915,186044.49859075536,1052029.0,3548.0,1799.0,660085881.0,584.7854363535297,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,8,rep-01,MUSANSOURCE0242,1.3621493510662537,377099.213592233,1285468439.0,1751.0,1802.0,660300723.0,713356.5144284129,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,True,,true,false,NONE,false
ablation_musan_lat.test_02,9,rep-01,MUSANSOURCE0242,19326.92413823552,376761.3295259852,90599.0,1751.0,1802.0,659709088.0,50.276914539400664,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
ablation_musan_lat.test_02,10,rep-01,MUSANSOURCE0242,0.0,,38790.0,0.0,1802.0,659712764.0,21.526082130965595,9600000.0,662713000.0,14485.908681435252,2874655.334552304,10117541.865219874,13568830.337604376,2334864.0,42160674.0,46342725.5,1751,False,,true,false,NONE,false
