query_name,pipeline_id,repetition,source_name,throughput,latency_us,pipeline_task_duration_us,pipeline_tuples,pipeline_task_count,pipeline_task_span_us,pipeline_avg_task_duration_us,end_to_end_tuples,end_to_end_duration_us,end_to_end_throughput,end_to_end_latency_us,avg_sink_latency_us,std_sink_latency_us,p50_sink_latency_us,p95_sink_latency_us,p99_sink_latency_us,sink_latency_count,is_inference_pipeline,batch_size,number_of_entries_prediction_cache,prediction_cache_scope,prediction_cache_type,use_batch_deduplication
ablation_cwru_lat.test_03,6,rep-01,CWRUSOURCE,13.101726646220659,26475.29458128079,77470705.0,1015.0,1015.0,26872424.0,76325.81773399014,486804.0,27188400.0,17904.841770755174,80659.97672076018,564756.9822660099,844471.302366184,29603.0,2193931.6999999993,3847958.98,1015,True,1,16,THREAD_LOCAL,LFU,false
ablation_cwru_lat.test_03,7,rep-01,CWRUSOURCE,26236.88155922039,26288.158620689654,38686.0,1015.0,1015.0,26682481.0,38.114285714285714,486804.0,27188400.0,17904.841770755174,80659.97672076018,564756.9822660099,844471.302366184,29603.0,2193931.6999999993,3847958.98,1015,False,1,16,THREAD_LOCAL,LFU,false
ablation_cwru_lat.test_03,8,rep-01,CWRUSOURCE,0.0,,13916.0,0.0,1015.0,26682504.0,13.710344827586207,486804.0,27188400.0,17904.841770755174,80659.97672076018,564756.9822660099,844471.302366184,29603.0,2193931.6999999993,3847958.98,1015,False,1,16,THREAD_LOCAL,LFU,false
ablation_cwru_lat.test_03,2,rep-01,CWRUSOURCE,868815.0088879687,21.25340794241625,560308.0,486804.0,102.0,10346244.0,5493.21568627451,486804.0,10876200.0,44758.64732167485,51098.661428395346,380710.0689655172,126144.10698693666,380341.0,611587.2,648374.1,1015,False,12,,,NONE,true
ablation_cwru_lat.test_03,3,rep-01,CWRUSOURCE,3906934.1894060997,21.246310630150944,124600.0,486804.0,102.0,10342789.0,1221.5686274509803,486804.0,10876200.0,44758.64732167485,51098.661428395346,380710.0689655172,126144.10698693666,380341.0,611587.2,648374.1,1015,False,12,,,NONE,true
ablation_cwru_lat.test_03,4,rep-01,CWRUSOURCE,95441.61452681127,483.9666838238735,223917.0,21371.0,102.0,10342852.0,2195.264705882353,486804.0,10876200.0,44758.64732167485,51098.661428395346,380710.0689655172,126144.10698693666,380341.0,611587.2,648374.1,1015,False,12,,,NONE,true
ablation_cwru_lat.test_03,5,rep-01,CWRUSOURCE,1347.4619922789764,10013.925123152709,753268.0,1015.0,1015.0,10164134.0,742.135960591133,486804.0,10876200.0,44758.64732167485,51098.661428395346,380710.0689655172,126144.10698693666,380341.0,611587.2,648374.1,1015,False,12,,,NONE,true
ablation_cwru_lat.test_03,6,rep-01,CWRUSOURCE,6945.252252930349,10012.48275862069,146143.0,1015.0,1015.0,10162670.0,143.9832512315271,486804.0,10876200.0,44758.64732167485,51098.661428395346,380710.0689655172,126144.10698693666,380341.0,611587.2,648374.1,1015,False,12,,,NONE,true
ablation_cwru_lat.test_03,7,rep-01,CWRUSOURCE,7381.478932028882,10082.564484126984,136558.0,1008.0,1015.0,10163225.0,134.5399014778325,486804.0,10876200.0,44758.64732167485,51098.661428395346,380710.0689655172,126144.10698693666,380341.0,611587.2,648374.1,1015,False,12,,,NONE,true
ablation_cwru_lat.test_03,8,rep-01,CWRUSOURCE,38.35615278793681,10281.884729064039,26462508.0,1015.0,85.0,10436113.0,311323.62352941174,486804.0,10876200.0,44758.64732167485,51098.661428395346,380710.0689655172,126144.10698693666,380341.0,611587.2,648374.1,1015,True,12,,,NONE,true
