offered_rate,duplicate_percent,structure,hotset_size,precision,batch_size,cache_type,cache_entries,dedup,worker_threads,repetition,records,records_configured,sink_throughput,sustained_ratio,effective_batch_size,per_record_task_us,latency_us_mean,latency_us_p50,latency_us_p95,latency_us_p99,latency_us_max,cache_hits,cache_misses,observed_hit_rate,expected_unique_fraction,source_saturated,source_saturation_events,pipeline_tuples,pipeline_task_count,pipeline_task_duration_us,query_duration_us,combination,query_name
1000000000,0,hotset,256,int8,1,NONE,,false,48,rep-01,500000.0,500000,162595.43945807588,,2049.1803278688526,315.908914,6781444.080268889,6835927.0,7510980.0,7549586.0,7569723.0,,,,1.0,True,228,500000.0,244.0,157954457.0,4062090.0000000005,inference.batch_size=1__inference.prediction_cache_type=NONE__worker.query_engine.number_of_worker_threads=48,nbeats300_adaptive_cal.test_03
1000000000,0,hotset,256,int8,512,NONE,,false,48,rep-01,122144.0,500000,71363.00988497809,,486.62948207171314,50.736622347393244,5267695.25721823,5255432.0,5602098.0,5613459.71,5622158.0,,,,1.0,True,237,122144.0,251.0,6197174.0,2213740.0,inference.batch_size=512__inference.prediction_cache_type=NONE__inference.use_batch_deduplication=false__worker.query_engine.number_of_worker_threads=48,nbeats300_adaptive_cal.test_03
1000000000,0,hotset,256,int8,64,NONE,,false,48,rep-01,122923.0,500000,75706.04697454191,,62.811957077158915,61.705921593192485,4671897.628675506,4676667.0,4976708.0,5009684.0,5012906.0,,,,1.0,True,240,122923.0,1957.0,7585077.0,1839580.0,inference.batch_size=64__inference.prediction_cache_type=NONE__inference.use_batch_deduplication=false__worker.query_engine.number_of_worker_threads=48,nbeats300_adaptive_cal.test_03
1000000000,0,hotset,256,int8,64,NONE,,true,48,rep-01,122974.0,500000,73520.50549756704,,62.773864216436955,86.3620114821019,5458526.963596772,5481867.0,5756835.0,5759108.0,5766173.0,,,,1.0,True,192,122974.0,1959.0,10620282.0,1828860.0,inference.batch_size=64__inference.prediction_cache_type=NONE__inference.use_batch_deduplication=true__worker.query_engine.number_of_worker_threads=48,nbeats300_adaptive_cal.test_03
1000000000,0,hotset,256,int8,8,NONE,,false,48,rep-01,81409.0,500000,54085.1354736012,,7.985972140474789,401.78284956208773,4548969.72408522,4509366.0,4923431.6,4940714.359999999,4942791.0,,,,1.0,True,215,81409.0,10194.0,32708740.0,2498250.0,inference.batch_size=8__inference.prediction_cache_type=NONE__inference.use_batch_deduplication=false__worker.query_engine.number_of_worker_threads=48,nbeats300_adaptive_cal.test_03
1000000000,90,hotset,256,int8,1,LRU,1024,false,48,rep-01,500000.0,500000,287202.81688522804,,1792.1146953405018,28.555354,4060264.2289955555,4054880.0,4384607.0,4408954.0,4411480.0,440533.0,59467.0,0.881066,0.24284799999999998,True,90,500000.0,279.0,14277677.0,1879540.0,inference.batch_size=1__inference.prediction_cache_type=LRU__inference.number_of_entries_prediction_cache=1024__worker.query_engine.number_of_worker_threads=48,nbeats300_adaptive_cal.test_05
1000000000,90,hotset,256,int8,1,NONE,,false,48,rep-01,500000.0,500000,137468.8736102928,,1792.1146953405018,313.441822,5954309.519682222,6054060.0,6712811.0,6807063.0,6841714.0,,,,0.24284799999999998,True,205,500000.0,279.0,156720911.0,4229500.0,inference.batch_size=1__inference.prediction_cache_type=NONE__worker.query_engine.number_of_worker_threads=48,nbeats300_adaptive_cal.test_05
1000000000,90,hotset,256,int8,512,NONE,,false,48,rep-01,122144.0,500000,60619.746382116224,,486.62948207171314,53.19892913282683,4288894.535777313,4343738.0,4672654.0,4680734.71,4695542.0,,,,0.6260675923500131,True,216,122144.0,251.0,6497930.0,2251690.0,inference.batch_size=512__inference.prediction_cache_type=NONE__inference.use_batch_deduplication=false__worker.query_engine.number_of_worker_threads=48,nbeats300_adaptive_cal.test_05
1000000000,90,hotset,256,int8,64,NONE,,false,48,rep-01,123004.0,500000,59312.10800431856,,62.82124616956077,75.45046502552762,5066935.087277786,5104039.5,5499168.0,5506880.97,5509491.0,,,,1.0,True,135,123004.0,1958.0,9280709.0,2542500.0,inference.batch_size=64__inference.prediction_cache_type=NONE__inference.use_batch_deduplication=false__worker.query_engine.number_of_worker_threads=48,nbeats300_adaptive_cal.test_05
1000000000,90,hotset,256,int8,64,NONE,,true,48,rep-01,123070.0,500000,61012.70077501548,,62.79081632653061,90.51963110424961,5037196.944773977,5059238.0,5526359.0,5573771.38,5582357.0,,,,1.0,True,183,123070.0,1960.0,11140251.0,2296970.0,inference.batch_size=64__inference.prediction_cache_type=NONE__inference.use_batch_deduplication=true__worker.query_engine.number_of_worker_threads=48,nbeats300_adaptive_cal.test_05
1000000000,90,hotset,256,int8,8,NONE,,false,48,rep-01,59805.0,500000,63611.309953699514,,7.985712378154627,319.1309422289106,5093365.949707385,5087753.0,5320826.8,5345078.0,5346866.0,,,,1.0,True,166,59805.0,7489.0,19085626.0,2416930.0,inference.batch_size=8__inference.prediction_cache_type=NONE__inference.use_batch_deduplication=false__worker.query_engine.number_of_worker_threads=48,nbeats300_adaptive_cal.test_05
1000000000,0,hotset,256,none,1,NONE,,false,48,rep-01,,500000,,,,,,,,,,,,,,True,102,,,,834399.0,inference.batch_size=1__inference.prediction_cache_type=NONE__worker.query_engine.number_of_worker_threads=48,nbeats300_adaptive_cal.test_01
