query_name,pipeline_id,repetition,source_name,throughput,latency_us,pipeline_task_duration_us,pipeline_tuples,pipeline_task_count,pipeline_task_span_us,pipeline_avg_task_duration_us,end_to_end_tuples,end_to_end_duration_us,end_to_end_throughput,end_to_end_latency_us,openvino_enable_cpu_pinning,openvino_inference_num_threads,openvino_num_streams,prediction_cache_type,use_batch_deduplication
dlinear-48.test_02,3,rep-05,2,19886.010230231623,24.44742861314224,24799243.0,493158.0,493158.0,12056445.0,50.28660794309329,7397222.0,15644881.0,472820.59863542585,77.4902565341442,false,1,0,NONE,false
dlinear-48.test_02,4,rep-05,2,6860.837292655547,24.446887204506467,71880148.0,493158.0,493158.0,12056178.0,145.75480474817402,7397222.0,15644881.0,472820.59863542585,77.4902565341442,false,1,0,NONE,false
dlinear-48.test_02,5,rep-05,2,83563.92184718429,24.442109830926398,5901566.0,493158.0,493158.0,12053822.0,11.966886880066834,7397222.0,15644881.0,472820.59863542585,77.4902565341442,false,1,0,NONE,false
dlinear-48.test_02,6,rep-05,2,0.0,,669965.0,0.0,493158.0,12048489.0,1.358519987509074,7397222.0,15644881.0,472820.59863542585,77.4902565341442,false,1,0,NONE,false
dlinear-48.test_02,2,rep-07,2,386959.37182989664,2.5833208792166986,12744064.0,4931435.0,1048.0,12739479.0,12160.36641221374,7397222.0,15578315.0,474840.95680437837,81.7917775002637,false,1,0,NONE,false
dlinear-48.test_02,3,rep-07,2,19606.779816273756,25.705090457824877,25152422.0,493158.0,493158.0,12676671.0,51.00276584786214,7397222.0,15578315.0,474840.95680437837,81.7917775002637,false,1,0,NONE,false
dlinear-48.test_02,4,rep-07,2,6568.8997406622075,25.702474663292495,75074673.0,493158.0,493158.0,12675381.0,152.23249546798388,7397222.0,15578315.0,474840.95680437837,81.7917775002637,false,1,0,NONE,false
dlinear-48.test_02,5,rep-07,2,83826.99775371427,25.696146062722292,5883045.0,493158.0,493158.0,12672260.0,11.92933096492402,7397222.0,15578315.0,474840.95680437837,81.7917775002637,false,1,0,NONE,false
dlinear-48.test_02,6,rep-07,2,0.0,,608244.0,0.0,493158.0,12669302.0,1.2333653717469857,7397222.0,15578315.0,474840.95680437837,81.7917775002637,false,1,0,NONE,false
dlinear-48.test_02,8,rep-07,SOLARPOWERSOURCE,4386002.921937776,0.03210854020603951,1686552.0,7397222.0,1048.0,237514.0,1609.3053435114505,7397222.0,15578315.0,474840.95680437837,81.7917775002637,false,1,0,NONE,false
dlinear-48.test_02,9,rep-07,SOLARPOWERSOURCE,3167240.192704749,2.0726368970013036,116240.0,368160.0,1100.0,763062.0,105.67272727272727,7397222.0,15578315.0,474840.95680437837,81.7917775002637,false,1,0,NONE,false
dlinear-48.test_02,2,rep-08,2,375007.1956856152,2.6655438021590063,13150241.0,4931435.0,1048.0,13144956.0,12547.939885496184,7397222.0,16081760.0,459975.89816040033,84.37501127769829,false,1,0,NONE,false
dlinear-48.test_02,3,rep-08,2,18711.92413816131,26.552279391189032,26355280.0,493158.0,493158.0,13094469.0,53.44185839021166,7397222.0,16081760.0,459975.89816040033,84.37501127769829,false,1,0,NONE,false
dlinear-48.test_02,4,rep-08,2,6356.943052330373,26.54890521901703,77577854.0,493158.0,493158.0,13092805.0,157.30831498221664,7397222.0,16081760.0,459975.89816040033,84.37501127769829,false,1,0,NONE,false
dlinear-48.test_02,5,rep-08,2,80974.08362353433,26.541005113979697,6090319.0,493158.0,493158.0,13088909.0,12.349630341594377,7397222.0,16081760.0,459975.89816040033,84.37501127769829,false,1,0,NONE,false
