model,backend,batch_size,run,status,duration_us,throughput_records_per_second,avg_us,min_us,max_us,avg_records_per_second,emitted_records,runtime_buffer_pool_size,cycles_per_record,instructions_per_record,cycles_per_batch,instructions_per_batch,l1_misses_per_record,llc_misses_per_record,cache_misses_per_kinstr,branch_miss_rate,dtlb_misses_per_record,ipc,ghz
nbeats-small.onnx,OpenVINO,4,0,ok,6.6832e+07,15689.7,6.6832e+07,6.6832e+07,6.6832e+07,15689.7,1048576,268,222287,594888,889147,2.37955e+06,7480.64,14.7819,0.211971,0.00180652,48.9179,2.67622,3.48841
nbeats-small.onnx,OpenVINO,8,0,ok,4.35093e+07,24100,4.35093e+07,4.35093e+07,4.35093e+07,24100,1048576,140,144923,434814,1.15938e+06,3.47851e+06,3842.23,3.05754,0.0537577,0.00233684,29.9406,3.00032,3.49204
nbeats-small.onnx,OpenVINO,16,0,ok,3.22806e+07,32483.1,3.22806e+07,3.22806e+07,3.22806e+07,32483.1,1048576,76,107500,389292,1.72001e+06,6.22867e+06,702.353,0.6314,0.0737674,0.00267745,7.77585,3.62131,3.49125
nbeats-small.onnx,OpenVINO,32,0,ok,2.59177e+07,40457.9,2.59177e+07,2.59177e+07,2.59177e+07,40457.9,1048576,62,86350.9,312809,2.76323e+06,1.00099e+07,853.744,0.572532,0.0829526,0.00318707,5.72769,3.62254,3.49178
nbeats-small.onnx,OpenVINO,64,0,ok,2.19737e+07,47719.6,2.19737e+07,2.19737e+07,2.19737e+07,47719.6,1048576,58,73201,269574,4.68486e+06,1.72527e+07,727.301,1.18154,0.151624,0.00381451,3.24541,3.68265,3.49069
nbeats-small.onnx,OpenVINO,128,0,ok,1.99468e+07,52568.8,1.99468e+07,1.99468e+07,1.99468e+07,52568.8,1048576,58,66474.1,249626,8.50868e+06,3.19521e+07,406.166,0.525356,0.0606604,0.00411268,1.65956,3.75524,3.49175
nbeats-small.onnx,OpenVINO,256,0,ok,1.9204e+07,54602.1,1.9204e+07,1.9204e+07,1.9204e+07,54602.1,1048576,70,63996,240943,1.6383e+07,6.16813e+07,397.184,1.11235,0.117661,0.0045727,1.31703,3.76496,3.49134
nbeats-small.onnx,OpenVINO,512,0,ok,1.87327e+07,55975.8,1.87327e+07,1.87327e+07,1.87327e+07,55975.8,1048576,100,62412,236609,3.19549e+07,1.21144e+08,408.141,0.874475,0.0956587,0.00523134,0.946222,3.79108,3.49114
nbeats-small.onnx,OpenVINO,1024,0,ok,1.85991e+07,56377.6,1.85991e+07,1.85991e+07,1.85991e+07,56377.6,1048576,162,61954.2,234461,6.34411e+07,2.40088e+08,360.361,0.399847,0.0497222,0.00571993,0.781925,3.78443,3.49184
nbeats-small.onnx,OpenVINO,2048,0,ok,1.83809e+07,57047,1.83809e+07,1.83809e+07,1.83809e+07,57047,1048576,286,61214.4,233340,1.25367e+08,4.77879e+08,379.133,0.70399,0.0747242,0.00650141,0.612575,3.81184,3.49194
nbeats-small.onnx,OpenVINO,4096,0,ok,1.83859e+07,57031.4,1.83859e+07,1.83859e+07,1.83859e+07,57031.4,1048576,534,61221.1,232841,2.50762e+08,9.53719e+08,402.419,2.05042,0.180457,0.00677394,0.91497,3.80329,3.49188
