policy,scope,key_bytes,prediction_bytes,capacity,pool_keys,threads,hit_percent,repetition,ops_per_thread,total_ops,makespan_us,throughput_ops_per_second,ns_per_op_mean,ns_per_op_min_thread,ns_per_op_max_thread,hits,misses,observed_hit_rate,expected_hit_rate,status
LRU,shared,8,64,64,128,4,0,0,200000,800000,1.27118e+06,629337,6345.23,6330.36,6355.9,0,800000,0,0,ok
LRU,shared,8,64,64,128,4,0,1,200000,800000,1.25457e+06,637669,6245.65,6185.38,6272.84,0,800000,0,0,ok
LRU,shared,8,64,64,128,4,0,2,200000,800000,1.2613e+06,634266,6284.95,6231.3,6306.51,0,800000,0,0,ok
LRU,private,8,64,64,128,4,50,0,200000,800000,31385.8,2.54892e+07,147.087,142.24,156.929,400000,400000,0.5,0.5,ok
LRU,private,8,64,64,128,4,50,1,200000,800000,41487.3,1.9283e+07,175.307,140.795,207.437,400000,400000,0.5,0.5,ok
LRU,private,8,64,64,128,4,50,2,200000,800000,40455.7,1.97747e+07,184.751,161.771,202.278,400000,400000,0.5,0.5,ok
LRU,shared,8,64,64,128,4,50,0,200000,800000,752147,1.06362e+06,3745.74,3717.69,3760.74,399991,400009,0.499989,0.5,inexact
LRU,shared,8,64,64,128,4,50,1,200000,800000,778132,1.0281e+06,3879.71,3857.49,3890.66,399988,400012,0.499985,0.5,inexact
LRU,shared,8,64,64,128,4,50,2,200000,800000,749927,1.06677e+06,3729.87,3681.81,3749.64,399989,400011,0.499986,0.5,inexact
LRU,private,8,64,64,128,4,100,0,200000,800000,23979.9,3.33613e+07,82.5776,49.3449,119.899,799996,4,0.999995,0.999995,ok
LRU,private,8,64,64,128,4,100,1,200000,800000,9867.93,8.10707e+07,46.6895,39.1192,49.3397,799996,4,0.999995,0.999995,ok
LRU,private,8,64,64,128,4,100,2,200000,800000,22055.9,3.62715e+07,82.4827,44.3807,110.279,799996,4,0.999995,0.999995,ok
LRU,shared,8,64,64,128,4,100,0,200000,800000,114705,6.97442e+06,569.642,564.626,573.524,799996,4,0.999995,0.999995,ok
LRU,shared,8,64,64,128,4,100,1,200000,800000,118623,6.74405e+06,571.243,547.835,593.115,799996,4,0.999995,0.999995,ok
LRU,shared,8,64,64,128,4,100,2,200000,800000,116224,6.88328e+06,562.472,543.977,581.118,799996,4,0.999995,0.999995,ok
LRU,private,8,64,64,128,8,0,0,200000,1600000,55157.5,2.90078e+07,224.62,186.68,275.787,0,1600000,0,0,ok
LRU,private,8,64,64,128,8,0,1,200000,1600000,47921.1,3.33882e+07,219.998,189.287,239.606,0,1600000,0,0,ok
LRU,private,8,64,64,128,8,0,2,200000,1600000,56455.4,2.8341e+07,240.878,191.994,282.277,0,1600000,0,0,ok
LRU,shared,8,64,64,128,8,0,0,200000,1600000,3.15776e+06,506689,15687.8,15492.7,15788.8,0,1600000,0,0,ok
LRU,shared,8,64,64,128,8,0,1,200000,1600000,3.1831e+06,502654,15825.8,15566.1,15915.5,0,1600000,0,0,ok
LRU,shared,8,64,64,128,8,0,2,200000,1600000,3.07603e+06,520151,15261.1,14740.5,15380.1,0,1600000,0,0,ok
LRU,private,8,64,64,128,8,50,0,200000,1600000,38499.8,4.15586e+07,176.526,157.943,192.499,800000,800000,0.5,0.5,ok
LRU,private,8,64,64,128,8,50,1,200000,1600000,45526.3,3.51445e+07,168.386,132.357,227.632,800000,800000,0.5,0.5,ok
LRU,private,8,64,64,128,8,50,2,200000,1600000,38231.4,4.18504e+07,156.787,128.616,191.157,800000,800000,0.5,0.5,ok
LRU,shared,8,64,64,128,8,50,0,200000,1600000,2.07425e+06,771364,10285,10123.5,10371.2,799966,800034,0.499979,0.5,inexact
LRU,shared,8,64,64,128,8,50,1,200000,1600000,2.08996e+06,765563,10403.3,10219.5,10449.8,799977,800023,0.499986,0.5,inexact
LRU,shared,8,64,64,128,8,50,2,200000,1600000,2.07476e+06,771175,10298,10061.8,10373.8,799971,800029,0.499982,0.5,inexact
LRU,private,8,64,64,128,8,100,0,200000,1600000,22291.1,7.17776e+07,80.5664,35.5424,111.455,1599992,8,0.999995,0.999995,ok
LRU,private,8,64,64,128,8,100,1,200000,1600000,19623.5,8.15351e+07,58.2287,32.3307,98.1172,1599992,8,0.999995,0.999995,ok
LRU,private,8,64,64,128,8,100,2,200000,1600000,42552.1,3.7601e+07,113.428,48.9519,212.76,1599992,8,0.999995,0.999995,ok
LRU,shared,8,64,64,128,8,100,0,200000,1600000,579161,2.76262e+06,2820.79,2686.98,2895.8,1599992,8,0.999995,0.999995,ok
LRU,shared,8,64,64,128,8,100,1,200000,1600000,600284,2.6654e+06,2949.79,2821.3,3001.42,1599992,8,0.999995,0.999995,ok
LRU,shared,8,64,64,128,8,100,2,200000,1600000,591841,2.70343e+06,2917.12,2875.79,2959.21,1599992,8,0.999995,0.999995,ok
LRU,private,8,64,64,128,16,0,0,200000,3200000,56317.4,5.68208e+07,236.888,182.941,281.587,0,3200000,0,0,ok
LRU,private,8,64,64,128,16,0,1,200000,3200000,63762.7,5.0186e+07,241.115,186.878,318.814,0,3200000,0,0,ok
LRU,private,8,64,64,128,16,0,2,200000,3200000,63020.3,5.07773e+07,237.084,184.261,315.102,0,3200000,0,0,ok
LRU,shared,8,64,64,128,16,0,0,200000,3200000,6.90919e+06,463151,34466.5,34142.5,34545.9,0,3200000,0,0,ok
LRU,shared,8,64,64,128,16,0,1,200000,3200000,6.87927e+06,465166,34310.7,34117.9,34396.3,0,3200000,0,0,ok
LRU,shared,8,64,64,128,16,0,2,200000,3200000,6.27561e+06,509910,30090.1,25850,31378.1,0,3200000,0,0,ok
LRU,private,8,64,64,128,16,50,0,200000,3200000,38792.5,8.24902e+07,162.678,133.563,193.962,1600000,1600000,0.5,0.5,ok
LRU,private,8,64,64,128,16,50,1,200000,3200000,39515.9,8.098e+07,161.037,129.403,197.58,1600000,1600000,0.5,0.5,ok
LRU,private,8,64,64,128,16,50,2,200000,3200000,40811.6,7.84092e+07,163.976,136.241,204.058,1600000,1600000,0.5,0.5,ok
LRU,shared,8,64,64,128,16,50,0,200000,3200000,4.62761e+06,691502,22943,22480.9,23138,1599017,1600983,0.499693,0.5,inexact
LRU,shared,8,64,64,128,16,50,1,200000,3200000,4.53112e+06,706226,21836,18284.4,22655.6,1597361,1602639,0.499175,0.5,inexact
LRU,shared,8,64,64,128,16,50,2,200000,3200000,4.75018e+06,673659,23647.7,22964.1,23750.9,1599721,1600279,0.499913,0.5,inexact
LRU,private,8,64,64,128,16,100,0,200000,3200000,21632.1,1.47928e+08,49.5782,32.7884,108.161,3199984,16,0.999995,0.999995,ok
LRU,private,8,64,64,128,16,100,1,200000,3200000,27256,1.17405e+08,58.9194,33.4575,136.28,3199984,16,0.999995,0.999995,ok
LRU,private,8,64,64,128,16,100,2,200000,3200000,23091.2,1.38581e+08,51.3519,32.7771,115.456,3199984,16,0.999995,0.999995,ok
LRU,shared,8,64,64,128,16,100,0,200000,3200000,1.45876e+06,2.19365e+06,7198.2,6934.3,7293.79,3199984,16,0.999995,0.999995,ok
